
Symbol table '.dynsym' contains 27118 entries:
   Num:    Value          Size Type    Bind   Vis      Ndx Name
    63: 00000000009692ac   112 FUNC    GLOBAL DEFAULT   10 _ZN24SetupCamera[...]
    64: 0000000000d719a8   244 FUNC    GLOBAL DEFAULT   10 BIO_ADDR_rawmake
    65: 0000000000771218   660 FUNC    GLOBAL DEFAULT   10 _ZN22SpawnTrigge[...]
    66: 0000000000dadbfc    16 FUNC    GLOBAL DEFAULT   10 evp_pkey_set_cb_[...]
    67: 0000000000579654   928 FUNC    GLOBAL DEFAULT   10 _ZN16CCScrollLay[...]
    68: 0000000000d9113c     8 FUNC    GLOBAL DEFAULT   10 EC_GROUP_get0_order
    69: 00000000008aad34   272 FUNC    GLOBAL DEFAULT   10 _ZN15GJEffectMan[...]
    70: 0000000000d677e8   220 FUNC    GLOBAL DEFAULT   10 ASN1_TIME_adj
    71: 0000000000b13918   208 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d16CCA[...]
    72: 000000000081d8d4    88 FUNC    GLOBAL DEFAULT   10 _ZN17Leaderboard[...]
    73: 00000000008c1efc    36 FUNC    GLOBAL DEFAULT   10 _ZN15SetColorIDP[...]
    74: 0000000000b241e0    40 FUNC    GLOBAL DEFAULT   10 _ZN8tinyxml27XML[...]
    75: 0000000000ad9828   108 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d10CCD[...]
    76: 00000000007cc138    12 FUNC    GLOBAL DEFAULT   10 _ZN16MoreOptions[...]
    77: 0000000000da13d0   364 FUNC    GLOBAL DEFAULT   10 ERR_add_error_vdata
    78: 000000000086c1c4   836 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameL[...]
    79: 000000000095a888   312 FUNC    GLOBAL DEFAULT   10 _ZN21SetupTouchT[...]
    80: 0000000000852568   128 FUNC    GLOBAL DEFAULT   10 _ZN16Keybindings[...]
    81: 0000000000b57bf4     4 FUNC    GLOBAL DEFAULT   10 _ZNK4pugi22xml_a[...]
    82: 0000000000daaab0     8 FUNC    GLOBAL DEFAULT   10 EVP_MD_meth_get_copy
    83: 00000000006e373c    76 FUNC    GLOBAL DEFAULT   10 _ZN11UploadPopup[...]
    84: 0000000000d1ef80    20 FUNC    GLOBAL DEFAULT   10 _ZNSt13bad_excep[...]
    85: 0000000000cbfe30    28 FUNC    GLOBAL DEFAULT   10 deflateInit_
    86: 0000000000a53dd4    36 FUNC    GLOBAL DEFAULT   10 _ZN16SelectEvent[...]
    87: 0000000000e9ed20    15 OBJECT  WEAK   DEFAULT   11 _ZTS12BoomListView
    88: 0000000000aad8c4   516 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9exte[...]
    89: 00000000008b8a54  1004 FUNC    GLOBAL DEFAULT   10 _Z17timerItemToS[...]
    90: 000000000083aa80     8 FUNC    WEAK   DEFAULT   10 _ZThn320_N19Newg[...]
    91: 00000000007ec4e8   124 FUNC    GLOBAL DEFAULT   10 _ZN13GJGroundLay[...]
    92: 0000000000b30298     8 FUNC    GLOBAL DEFAULT   10 _ZThn680_N7cocos[...]
    93: 00000000007400c0     8 FUNC    GLOBAL DEFAULT   10 _ZN16ColorSelect[...]
    94: 0000000000b40ea4    80 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d14CCM[...]
    95: 00000000011324a0    56 OBJECT  GLOBAL DEFAULT   17 CMS_Attributes_S[...]
    96: 0000000001245a00     4 OBJECT  WEAK   DEFAULT   21 _ZZN7cocos2d20CC[...]
    97: 0000000000b10c98   384 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d11CCG[...]
    98: 0000000000641718   552 FUNC    GLOBAL DEFAULT   10 _ZN10GameObject2[...]
    99: 0000000000ab5fd0   464 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d18CCC[...]
   100: 0000000000e77228    12 FUNC    GLOBAL DEFAULT   10 BN_is_prime_ex
   101: 0000000000d38480   148 FUNC    GLOBAL DEFAULT   10 ssl_fill_hello_random
   102: 00000000006650e4    68 FUNC    GLOBAL DEFAULT   10 _ZN13DrawGridLay[...]
   103: 0000000000db5a34    52 FUNC    GLOBAL DEFAULT   10 CRYPTO_get_mem_f[...]
   104: 00000000005c8530    40 FUNC    WEAK   DEFAULT   10 _ZN7cocos2d9CCIn[...]
   105: 0000000000aa0064   148 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9exte[...]
   106: 00000000007db1b8   172 FUNC    GLOBAL DEFAULT   10 _ZN12SupportLayerD2Ev
   107: 0000000000cc8ca0   100 FUNC    GLOBAL DEFAULT   10 gzerror
   108: 0000000000a77ac8    76 FUNC    GLOBAL DEFAULT   10 _ZN15UploadListP[...]
   109: 0000000000b24f14    48 FUNC    GLOBAL DEFAULT   10 _ZN8tinyxml210XM[...]
   110: 0000000000f17320    19 OBJECT  WEAK   DEFAULT   11 _ZTSN7cocos2d7CC[...]
   111: 00000000005712e0   236 FUNC    GLOBAL DEFAULT   10 _ZN16CCAnimatedS[...]
   112: 00000000006f1dcc   516 FUNC    GLOBAL DEFAULT   10 _ZN16GameLevelMa[...]
   113: 0000000000f178c0    31 OBJECT  WEAK   DEFAULT   11 _ZTSN7cocos2d18C[...]
   114: 0000000000b120e0    32 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d14ccG[...]
   115: 0000000000866534   280 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameL[...]
   116: 00000000008bf868   432 FUNC    GLOBAL DEFAULT   10 _ZN15GJEffectMan[...]
   117: 0000000000afdb50  3864 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d16CCP[...]
   118: 0000000000e74924   624 FUNC    GLOBAL DEFAULT   10 BN_GF2m_add
   119: 00000000007db19c    28 FUNC    GLOBAL DEFAULT   10 _ZN13TutorialLay[...]
   120: 00000000007506bc   188 FUNC    GLOBAL DEFAULT   10 _ZN18ParticleGam[...]
   121: 000000000082974c   128 FUNC    GLOBAL DEFAULT   10 _ZN20MusicDownlo[...]
   122: 000000000085ff8c   184 FUNC    GLOBAL DEFAULT   10 _ZN15GJBaseGameL[...]
   123: 0000000000d37858     8 FUNC    GLOBAL DEFAULT   10 ssl3_handshake_write
   124: 0000000001200b40    24 OBJECT  WEAK   DEFAULT   17 _ZTIN7cocos2d8CC[...]
   125: 0000000000934bb8   252 FUNC    GLOBAL DEFAULT   10 _ZN17RewardUnloc[...]
   126: 00000000008e9264   116 FUNC    GLOBAL DEFAULT   10 _ZN22SetupObject[...]
   127: 00000000009743cc   556 FUNC    GLOBAL DEFAULT   10 _ZN23SetupObject[...]
   128: 0000000000b1d078    28 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d29get[...]
   129: 0000000000aa7c48   208 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d9exte[...]
   130: 0000000000c21d38  1252 FUNC    GLOBAL DEFAULT   10 jpeg_idct_11x11
   131: 0000000000df0218    20 FUNC    GLOBAL DEFAULT   10 i2d_DSAPrivateKey_bio
   132: 0000000000b2ae44    92 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d8ZipU[...]
   133: 0000000000de9948    84 FUNC    GLOBAL DEFAULT   10 X509_EXTENSION_s[...]
   134: 000000000084804c     4 FUNC    GLOBAL DEFAULT   10 _ZN16GJAccountMa[...]
   135: 0000000000957644   132 FUNC    WEAK   DEFAULT   10 _ZN23SetupPickup[...]
   136: 0000000000c04c1c   300 FUNC    GLOBAL DEFAULT   10 jpeg_read_raw_data
   137: 00000000008218d4    20 FUNC    GLOBAL DEFAULT   10 _ZN17LevelFeatur[...]
   138: 0000000000ac01d0   268 FUNC    GLOBAL DEFAULT   10 _ZN7cocos2d8CCSk[...]
   139: 0000000000d89d3c   108 FUNC    GLOBAL DEFAULT   10 DSA_set0_key
   140: 000000000057681c   504 FUNC    GLOBAL DEFAULT   10 _ZN17CCMenuItemT[...]
   141: 0000000000af53f8   200 FUNC    WEAK   DEFAULT   10 _ZN7cocos2d14CCM[...]
   142: 0000000000a733ac     8 FUNC    GLOBAL DEFAULT   10 _ZThn320_N14Leve[...]
   143: 00000000009e9cc8   320 FUNC    GLOBAL DEFAULT   10 _ZN17SetupTrigge[...]
   144: 000000000058d1fc   252 FUNC    GLOBAL DEFAULT   10 _ZN13ObjectManag[...]
