
Symbol table '.dynsym' contains 27657 entries:
   Num:    Value  Size Type    Bind   Vis      Ndx Name
    66: 002be509     4 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    67: 002be50d    88 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    68: 005e1589   152 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d11CCF[...]
    69: 002be565     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    70: 002be569   256 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    71: 005e6c99    56 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d8CCSp[...]
    72: 002be669     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    73: 002be66b     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    74: 002be66d     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    75: 002be66f     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    76: 002be671    56 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    77: 005bf319    10 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCSi[...]
    78: 002be6a9     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    79: 002be6ab     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    80: 002be6ad     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    81: 002be6af     4 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    82: 002be6b3     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    83: 002be6b5    52 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    84: 002be6e9     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    85: 002be6eb     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    86: 002be6ed     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    87: 002be6ef     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    88: 002be6f1    14 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    89: 00000000     0 FUNC    GLOBAL DEFAULT  UND raise@LIBC (2)
    90: 002be6ff     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    91: 002be701     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    92: 002be703     4 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    93: 002be709   108 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    94: 002be775    52 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    95: 002be7a9     2 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    96: 002be7ad    76 FUNC    GLOBAL DEFAULT   12 _ZN15PlatformToo[...]
    97: 002be7f9     2 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox8se[...]
    98: 002be7fd    72 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox18q[...]
    99: 002be845    72 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox21e[...]
   100: 002be88d    72 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox12e[...]
   101: 002be8d5    72 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox13d[...]
   102: 002be91d    72 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox16s[...]
   103: 002be965    72 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox17c[...]
   104: 002be9ad    80 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox21h[...]
   105: 002be9fd    72 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox17s[...]
   106: 002bea45    72 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox18c[...]
   107: 002bea8d    80 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox22h[...]
   108: 002beadd     4 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox11i[...]
   109: 002beae1    72 FUNC    GLOBAL DEFAULT   12 _ZN9AdToolbox9sh[...]
   110: 002beb29    52 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   111: 003002d5    72 FUNC    GLOBAL DEFAULT   12 _ZN15FMODAudioEn[...]
   112: 0030031d   132 FUNC    GLOBAL DEFAULT   12 _ZN15FMODAudioEn[...]
   113: 002fed59    44 FUNC    GLOBAL DEFAULT   12 _ZN15FMODAudioEn[...]
   114: 002fed85    42 FUNC    GLOBAL DEFAULT   12 _ZN15FMODAudioEn[...]
   115: 00301b31    40 FUNC    GLOBAL DEFAULT   12 _ZN15FMODAudioEn[...]
   116: 00000000     0 FUNC    GLOBAL DEFAULT  UND _ZN4FMOD6System6[...]
   117: 002beb5d    22 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   118: 00323a09  1260 FUNC    GLOBAL DEFAULT   12 _ZN11GameManager[...]
   119: 00321fed    14 FUNC    GLOBAL DEFAULT   12 _ZN11GameManager[...]
   120: 00322099    92 FUNC    GLOBAL DEFAULT   12 _ZN11GameManager[...]
   121: 002beb73    14 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   122: 00307a5f     4 FUNC    GLOBAL DEFAULT   12 _ZN11AppDelegate[...]
   123: 00307b79    60 FUNC    GLOBAL DEFAULT   12 _ZN11AppDelegate[...]
   124: 002beb81    14 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   125: 00307bcf     2 FUNC    GLOBAL DEFAULT   12 _ZN11AppDelegate[...]
   126: 002beb8f     2 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   127: 002beb91     2 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   128: 002beb93     2 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   129: 002beb95     2 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   130: 002beb97    14 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   131: 002f6161    92 FUNC    GLOBAL DEFAULT   12 _ZN17GooglePlayM[...]
   132: 002f61bd    34 FUNC    GLOBAL DEFAULT   12 _ZN17GooglePlayM[...]
   133: 002beba5    14 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   134: 002bebb3    14 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   135: 00322057    40 FUNC    GLOBAL DEFAULT   12 _ZN11GameManager[...]
   136: 002bebc1    14 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   137: 0032207f    26 FUNC    GLOBAL DEFAULT   12 _ZN11GameManager[...]
   138: 002bebcf     2 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   139: 002bebd1     2 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   140: 002bebd3    18 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   141: 00322199    18 FUNC    GLOBAL DEFAULT   12 _ZN11GameManager[...]
   142: 002bebe5    14 FUNC    GLOBAL DEFAULT   12 Java_com_customR[...]
   143: 0032213d    92 FUNC    GLOBAL DEFAULT   12 _ZN11GameManager[...]
   144: 002bebf3    20 FUNC    GLOBAL DEFAULT   12 _ZN19Achievement[...]
   145: 005c1e49    46 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d7CCAr[...]
   146: 005c1541     8 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d8CCOb[...]
   147: 002bec09    76 FUNC    GLOBAL DEFAULT   12 _ZN19Achievement[...]
   148: 005c1531    16 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d8CCOb[...]
   149: 005bd7fd   212 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   150: 00a3ac38   448 OBJECT  GLOBAL DEFAULT   19 _ZTV19Achievemen[...]
   151: 002bec09    76 FUNC    GLOBAL DEFAULT   12 _ZN19Achievement[...]
   152: 002bec55    18 FUNC    GLOBAL DEFAULT   12 _ZN19Achievement[...]
   153: 002bec69    96 FUNC    GLOBAL DEFAULT   12 _ZN19Achievement[...]
   154: 005bdc89   264 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   155: 002becc9   220 FUNC    GLOBAL DEFAULT   12 _ZN19Achievement[...]
   156: 005c1ea9     6 FUNC    GLOBAL DEFAULT   12 _ZNK7cocos2d7CCA[...]
   157: 00305ed9   124 FUNC    GLOBAL DEFAULT   12 _ZN15FMODAudioEn[...]
   158: 005c1ebb    10 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d7CCAr[...]
   159: 005c2121     6 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d7CCAr[...]
   160: 0042adb9   464 FUNC    GLOBAL DEFAULT   12 _ZN14Achievement[...]
   161: 002beda5    46 FUNC    GLOBAL DEFAULT   12 _ZN19Achievement[...]
   162: 0042ad3d   124 FUNC    GLOBAL DEFAULT   12 _ZN14Achievement[...]
   163: 005c1f77     6 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d7CCAr[...]
   164: 002bedd3    44 FUNC    GLOBAL DEFAULT   12 _ZN19Achievement[...]
   165: 002bedff    88 FUNC    GLOBAL DEFAULT   12 _ZN19Achievement[...]
   166: 005be3e5    36 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   167: 009a9620    22 OBJECT  GLOBAL DEFAULT   15 _ZTS19Achievemen[...]
   168: 00a3ac28    12 OBJECT  GLOBAL DEFAULT   19 _ZTI19Achievemen[...]
   169: 00aaf9a0    44 OBJECT  GLOBAL DEFAULT   19 _ZTVN10__cxxabiv[...]
   170: 00aa13b8    12 OBJECT  GLOBAL DEFAULT   19 _ZTIN7cocos2d6CCNodeE
   171: 005c144d     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d9CCCo[...]
   172: 005c1451     8 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d8CCOb[...]
   173: 005c1459    12 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d8CCOb[...]
   174: 005bd91b    62 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   175: 005c146d     2 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d8CCOb[...]
   176: 005c146f     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d8CCOb[...]
   177: 005c1465     4 FUNC    GLOBAL DEFAULT   12 _ZNK7cocos2d8CCO[...]
   178: 005c1469     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d8CCOb[...]
   179: 005bc98b    36 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   180: 005bc987     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   181: 005bc983     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   182: 005bc9b3     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   183: 005bc9af     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   184: 005bca3b    14 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   185: 005bca37     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   186: 005bca4d    14 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   187: 005bca49     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   188: 005bca17    16 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   189: 005bca13     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   190: 005bca27    16 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   191: 005bca5f    20 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   192: 005bca5b     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   193: 005bcdfd    56 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   194: 005bca73    10 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   195: 005bce35    56 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   196: 005bca7d     4 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
   197: 005bce6d    60 FUNC    GLOBAL DEFAULT   12 _ZN7cocos2d6CCNo[...]
